"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"750",750,"Oh Lucy!","The drama-comedy tells the story of Setsuko Kawashima (Terajima), a lonely, chain-smoking office lady in Tokyo who is past her prime. After deciding to take an English class, she discovers ...                See full summary<U+00A0><U+00BB>",95,"Comedy",6.9,107,"Atsuko Hirayanagi","Shinobu Terajima",NA,0
"751",751,"Chungnyeon gyungchal","Hwang Ki Joon, Mr Action, and Kang Hee Yeol, Mr Bookworm, are two best friends but contradictory students at Korean National Police University. They accidentally witness a kidnapping and decide to work together to track it down.",109,"Action",6.7,183,"Kim Joo-Hwan","Seo-joon Park",NA,0
"752",752,"The Escape","An ordinary woman makes an extraordinary decision which will change her life forever.",105,"Drama",7.6,28,"Dominic Savage","Gemma Arterton",NA,0
"753",753,"Como se Tornar o Pior Aluno da Escola","Bernadinho (Bruno Munhoz) and Pedro (Daniel Pimentel) are students and face the classic tasks of fulfilling school obligations, taking good grades, being well behaved and complying with ...                See full summary<U+00A0><U+00BB>",106,"Comedy",6.6,329,"Fabr<U+00ED>cio Bittar","Joana Fomm",NA,0
"754",754,"Going Places",NA,NA,"Comedy",NA,NA,"John Turturro","Susan Sarandon",NA,0
"755",755,"El Camino Christmas",NA,NA,"Comedy",NA,NA,"See full summary","Vincent D'Onofrio",NA,0
"756",756,"Easy Living","Sherry, a self-destructive makeup saleswoman, hopes a new man and business venture will provide her a fresh start. After her plans are foiled, she takes control of her life in a dramatic turn of events.",80,"Comedy",5.3,122,"Adam Keleman","Caroline Dhavernas",NA,0
"757",757,"The Legend of Ben Hall","Ben Hall is drawn back into bushranging by the reappearance of his old friend John Gilbert. Reforming the gang, they soon become the most wanted men in Australian history.",139,"Action",5.8,1064,"Matthew Holmes","Jack Martin",NA,0
"758",758,"A Few Less Men","Travel plans for three men in ill-fitting wedding tuxedos goes horribly wrong. A follow-up to the 2011 comedy 'A Few Best Men'.",92,"Comedy",4.9,574,"Mark Lamprell","Dacre Montgomery",NA,0
"759",759,"Bethany","Claire and her husband find themselves moving back into Claire's childhood home only to have the abusive and traumatic memories of her mother come back to haunt her. As her husband starts ...                See full summary<U+00A0><U+00BB>",90,"Horror",4.7,584,"James Cullen Bressack","Stefanie Estes",NA,0
"760",760,"Vivegam","An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.",148,"Action",6.8,6889,"Siva","Ajith Kumar",NA,0
"761",761,"Becoming Bond","The stranger-than-fiction true story of George Lazenby, a poor Australian car mechanic who, through an unbelievable set of circumstances, landed the role of James Bond in On Her Majesty's ...                See full summary<U+00A0><U+00BB>",92,"Biography",7.7,899,"Josh Greenbaum","George Lazenby",65,0
"762",762,"Tadeo Jones 2: El secreto del Rey Midas","Tad Jones, the most awkward explorer, must rescue his beloved Sara from a millionaire who is looking for King Midas' necklace.",85,"Animation",6.6,207,"David Alonso","<U+00D3>scar Barber<U+00E1>n",NA,0
"763",763,"Lake Alice","The Thomas family goes out to their cabin in the woods to celebrate Christimas together with their daughter and her boyfriend, but their first Christmas together may be their last.",80,"Horror",4.3,1045,"Ben Milliken","Brando Eaton",NA,0
