"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"56",56,"The Meyerowitz Stories (New and Selected)","An estranged family gathers together in New York for an event celebrating the artistic work of their father.",112,"Comedy",7.2,4745,"Noah Baumbach","Adam Sandler",79,0
"57",57,"Get Out","It's time for a young African American to meet with his white girlfriend's parents for a weekend in their secluded estate in the woods, but before long, the friendly and polite ambience will give way to a nightmare.",104,"Horror",7.7,188112,"Jordan Peele","Daniel Kaluuya",84,175.48
"58",58,"Only the Brave","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters risk everything to protect a town from a historic wildfire.",133,"Biography",7.5,140,"Joseph Kosinski","Josh Brolin",77,0
"59",59,"King Arthur: Legend of the Sword","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",126,"Action",6.9,115474,"Guy Ritchie","Charlie Hunnam",NA,39.18
"60",60,"Replicas",NA,NA,"Crime",NA,NA,"Jeffrey Nachmanoff","Keanu Reeves",NA,0
"61",61,"A Ghost Story","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",92,"Drama",7,14133,"David Lowery","Casey Affleck",84,1.57
"62",62,"HHhH","1942: The Third Reich is at its peak. The Czech resistance in London decides to plan the most ambitious military operation of WWII: Anthropoid. Two young recruits in their late twenties, ...                See full summary<U+00A0><U+00BB>",120,"Action",6.3,1810,"C<U+00E9>dric Jimenez","Rosamund Pike",NA,0
"63",63,"Brawl in Cell Block 99","A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.",132,"Action",7.3,2939,"S. Craig Zahler","Dan Amboyer",79,0
"64",64,"The Crucifixion","When Nicole comes in contact with Father Anton (Corneliu Ulici) more and more inexplicable events occur. The pair begin to believe that the priest lost the battle with a demon.",90,"Horror",5.1,968,"Xavier Gens","Sophie Cookson",NA,0
"65",65,"Seven Sisters","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",123,"Action",6.9,27661,"Tommy Wirkola","Noomi Rapace",47,0
"66",66,"Suburbicon","A home invasion rattles a quiet family town.",104,"Crime",4.6,663,"George Clooney","Matt Damon",46,0
"67",67,"Walking Out","An urban teenager journeys to Montana to hunt big game with his estranged father. Father and son struggle to connect, until a brutal encounter in the heart of the wilderness changes everything.",95,"Adventure",6,992,"Alex Smith","Matt Bomer",79,0
"68",68,"47 Meters Down","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",89,"Adventure",5.7,19736,"Johannes Roberts","Mandy Moore",52,43.61
"69",69,"Security","A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.",88,"Action",5.7,6515,"Alain Desrochers","Antonio Banderas",NA,0
"70",70,"Molly's Game","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",140,"Biography",6.6,408,"Aaron Sorkin","Jessica Chastain",74,0
"71",71,"Logan","In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.",137,"Action",8.2,393640,"James Mangold","Hugh Jackman",77,226.28
"72",72,"It Comes at Night","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",91,"Horror",6.2,34841,"Trey Edward Shults","Joel Edgerton",78,13.78
